id,shop_name,display_name,brand_name,original_price,sale_price,image_url,rank
35,kurly,일화차시 호박팥차 (500mL X 6개),일화,,5980,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/eb7dbd8b-9ffe-413c-b883-62e47eb9ea76.jpg,35
36,kurly,비타민 C&D 아연 구미(30일분),KS365,9900.0,5500,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/b8151bec-463c-4f21-b473-0ca2d50b5d8a.jpeg,36
37,kurly,프로핏 웨이프로틴 드링크 3종 (12개입),셀렉스,38400.0,24900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/84200ecc-ea89-4aff-bdcb-a2012e5046dd.jpg,37
38,kurly,뉴케어 미니 구수한맛 24팩,대상웰라이프,48000.0,29390,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/a08e7ff7-7e66-4698-be9d-389ac309dc2b.jpg,38
39,kurly,잇더핏 단백질쉐이크 스타터패키지(5입),델리스푼,28300.0,19900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/5a167f7e-211f-4dc3-8b28-63a9607c480d.jpg,39
40,kurly,골드 카무트 브랜드밀효소G (30포),그레인온,25000.0,9900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/11d6b376-00ca-4813-b68f-f9ba49ef8ce7.jpg,40
41,kurly,홍삼 쌍화 (30포) (+쇼핑백증정),김정환홍삼,39800.0,16900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/3a9c78b6-916c-459b-aa70-78c06fd63fc2.jpg,41
42,kurly,청매실농원 청매실원 420mL,홍쌍리,,15000,https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1516590715289l0.jpg,42
43,kurly,비에날씬 플러스 100억 다이어트유산균 (20일분) + 보냉백 증정,BNR17,68000.0,32670,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/85ce670e-0eb6-44dc-8e79-fff7884af895.jpg,43
44,kurly,파워업 마시는 알부민 30포,메디트리,40000.0,13900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/5df90c0c-f9f3-4e76-b96e-704b0c7f3cd7.jpg,44
45,kurly,콤부차 3종 250mL (택1),아임얼라이브,,3200,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/a227d3e3-bc50-4bea-bd38-a7583081de74.jpg,45
46,kurly,트루바이타민 I (30일분),덴프스,80000.0,25400,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/68c44da4-7774-46ed-8de8-c0b84166b84e.jpg,46
47,kurly,리얼 초콜릿 프로틴바 4종 (1개입/9개입),빼바,28500.0,19900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/fe88ada8-b4ec-4e08-be62-c3b911b64e62.jpg,47
48,kurly,마그네슘400 (30일분),도펠헤르츠,20000.0,12900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/11920ea3-ee33-46cf-a6a7-7ef7cc8e7ebd.jpg,48
